station           code     x               y              z               SEFD-92  SEFD-49  SEFD-30  SEFD-21  SEFD-18  SEFD-13  SEFD-6  SEFD-5  SEFD-3.6  SEFD-2  SEFD-1.3  SEFD-0.9  SEFD-0.7  SEFD-0.3  SEFD-0.1
Effelsberg        EF       4033947.2616    486990.7866    4900430.9915    600      600      65       20       19       300      20      25      20        45      70        -1        200       930       -1
Westerbork        WB       3828767.2647    442446.1739    5064921.5700    2100     -1       1680     420      560      840      1680    1600    1680      -1      -1        -1        -1        -1        -1
Medicina          MC       4461369.6954    919597.1240    4449559.3812    -1       -1       -1       490      700      400      170     840     320       -1      700       -1        -1        -1        -1
Noto              NT       4934562.8407    1321201.5428   3806484.7336    -1       -1       -1       820      784      770      260     1100    770       -1      800       -1        900       -1        -1
Onsala            ON       3370605.8010    711917.7196    5349830.9004    -1       -1       900      350      350      1110     480     850     785       -1      1200      -1        1310      5100      -1
Shanghai          SH       -2826708.6030   4679237.0770   3274667.5510    -1       -1       -1       -1       670      800      720     1500    800       -1      -1        -1        -1        -1        -1
Tianma            T6       -2826708.6030   4679237.0770   3274667.5510    -1       -1       -1       39000    39000    46       26      26      48        -1      70        -1        120       -1        -1
Torun             TR       3638558.5100    1221969.7200   5077036.7600    -1       -1       2000     250      300      -1       220     650     -1        -1      500       -1        -1        -1        -1
Metsahovi         MH       2892584.8489    1311715.5980   5512640.1545    -1       -1       -1       -1       -1       4500     -1      -1      3200      -1      2608      -1        4500      17650     -1
Yebes             YS       4848780.1314    -261701.7668   4123035.9350    -1       -1       -1       -1       -1       1400     160     160     200       -1      200       -1        480       2540      -1
Sardinia          SR       4865182.7660    791922.6890    4035137.1740    -1       -1       -1       67       67       -1       -1      50      -1        -1      138       -1        -1        -1        -1
Arecibo           AR       2390486.9000    -5564731.4400  1994720.4500    12       -1       3        3.5      3        3        5       5       6         -1      -1        -1        -1        -1        -1
Wettzell          WZ       4075627.6441    931774.2773    4801552.3784    -1       -1       -1       -1       -1       1250     -1      -1      750       -1      -1        -1        -1        -1        -1
Hartebeesthoek    HH       5085442.7637    2668263.7913   -2768696.7523   -1       -1       -1       -1       430      410      650     700     630       -1      1800      -1        -1        -1        -1
Irbene            IR       3183649.615     1276902.735    5359264.576     -1       -1       -1       -1       3600     -1       430     480     1300      -1      -1        -1        -1        -1        -1
Kunming           KM       -1281152.8362   5640864.3586   2682653.4434    -1       -1       -1       -1       -1       350      17      17      480       -1      -1        -1        -1        -1        -1
Svetloe           SV       2730173.6723    1562442.7934   5529969.1413    -1       -1       -1       360      360      330      250     -1      200       -1      710       -1        -1        -1        -1
Zelenchkaya       ZC       3451207.5353    3060375.4139   4391915.0384    -1       -1       -1       300      300      330      400     -1      200       -1      710       -1        -1        -1        -1
Badary            BD       -838201.0685    3865751.5652   4987670.8885    -1       -1       -1       330      330      330      200     -1      200       -1      710       -1        -1        -1        -1
Urumqi            UR       228310.2129     4631922.7656   4367064.0638    -1       -1       -1       300      300      560      250     -1      350       -1      850       -1        -1        -1        -1
